NCGC00254346-01,CC(C)=CCC\C(C)=C/CO
NCGC00259911-01,OC1=NC(O)=NC(O)=N1
NCGC00256286-01,Cl.Cl.C1CNCCN1
NCGC00258764-01,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]
NCGC00163735-04,ClC1=CC=C(C=C1)C2=C(NC(=O)C3=C(Cl)N=CC=C3)C=CC=C2
NCGC00258920-01,NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O
NCGC00182993-01,OC(=O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)C1=CC=CC=C1
NCGC00092310-06,CCN1CCCC1CNC(=O)C2=CC(=C(N)C=C2OC)S(=O)(=O)CC
NCGC00166256-02,CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O
NCGC00254780-01,OC(=O)C1=C(Cl)C=CC(Cl)=N1
NCGC00259852-01,COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O
NCGC00259581-01,COS(=O)(=O)OC
NCGC00254108-01,CC1=CC=C(C=C1)S(O)(=O)=O.CCN(C(C)C)C(=O)C2=CC(OC[C@H](C)NC3=CC=NC=C3)=CC(C)=C2
NCGC00253620-01,CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O
NCGC00259467-01,OC(=O)CCC(O)=O
NCGC00255501-01,OC(=O)C1=CC=C([Hg]Cl)C=C1
NCGC00260200-01,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
NCGC00257789-01,ClCC=CCl
NCGC00258414-01,CCCCCCCCCC#N
NCGC00160449-04,OC(=O)CC1=CSC(=N1)C2=CC=C(Cl)C=C2
NCGC00254941-01,CCCCCC1CCC(=O)O1
NCGC00257266-01,OCC1=CC=C(O1)C=O
NCGC00018274-05,CC(=O)OC1=CC=CC2=C1C(=O)C3=C(OC(C)=O)C=C(C=C3C2=O)C(O)=O
NCGC00021466-05,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00254017-01,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl
NCGC00260379-01,CCCCCCCCCI
NCGC00257254-01,CC(=O)CCC1=CC=CC=C1
NCGC00257099-01,COC1=CC=C(N)C=C1
NCGC00254589-01,Cl.CCCOC(=O)NCCCN(C)C
NCGC00255331-01,[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C2=CC=C(C=C2)C(=C3C=CC(C=C3)=[N+](CC)CC4=CC(=CC=C4)S([O-])(=O)=O)C5=C(C=C(O)C=C5)S([O-])(=O)=O
NCGC00254826-01,CCOC1=NC(=NS1)C(Cl)(Cl)Cl
NCGC00259447-01,CN(C)C(=O)CC(C)=O
NCGC00259955-01,CC(C)CC(=O)CC(C)C
NCGC00257399-01,CCCOCC(C)O
NCGC00260299-01,[NH4+].[O-]C(=O)CS
NCGC00167454-02,CC1=CC=CC(C)=C1NC(=O)CC23CCCN2CCC3
NCGC00258643-01,CC1=CC=C(C=C1)C(O)=O
NCGC00163128-08,Cl.CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1
NCGC00254147-01,CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C
NCGC00254623-01,COC1=CC=C(Cl)C=C1C
NCGC00257996-01,CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C
NCGC00258986-01,OC(=O)C1=C(Cl)C=CC(Cl)=N1
NCGC00257270-01,CCCCCC=O
NCGC00259793-01,ClC1=C(C=CC=C1)C2=C(Cl)C=CC=C2
NCGC00258507-01,FC(F)(F)C1=CC=CC=C1
NCGC00257946-01,ClC(Cl)(Br)Br
NCGC00257623-01,CC(=O)NNC1=CC=CC=C1
NCGC00254232-01,[Na+].[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC([O-])=O)OC(=O)[C@@H](C)CC
NCGC00093976-08,Cl.C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2C[C@@](O)(CC3=C(O)C4=C(C(=O)C5=C(C=CC=C5)C4=O)C(O)=C23)C(C)=O
NCGC00091231-04,[H][C@@]1(C[C@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C3=CC=NC4=CC=C(OC)C=C34
NCGC00260395-01,BrCCOC1=CC=CC=C1
NCGC00254166-01,CC(C)(OOC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2
NCGC00259122-01,CC(C)COC(=O)C(C)C
NCGC00247729-01,Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00258697-01,CC(C)OC(=O)CC1=CC=CC=C1
NCGC00160434-02,O=C(CN1CCNCC1)NC2CCCCC2
NCGC00263894-02,Cl.C[N+](C)(C)CC(O)CC([O-])=O
NCGC00259700-01,CCN(N=O)C(N)=O
NCGC00258780-01,CC1=C(C=CC=C1C(O)=O)[N+]([O-])=O
NCGC00257327-01,CCCCC(CC)CO[N+]([O-])=O
NCGC00258428-01,CC(C)(C)S
NCGC00255450-01,[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC3=CC=C(C=C3)S([O-])(=O)=O)C(=CC4=CC(NC(=O)C5=CC=CC=C5)=CC=C14)S([O-])(=O)=O
NCGC00258209-01,CC(O)COC(C)(C)C
NCGC00256663-01,COC1=CC(CCC(C)=O)=CC=C1O
NCGC00255020-01,CC1=C(OCC(O)=O)C=CC=C1
NCGC00254382-01,CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C
NCGC00256164-01,[Zn++].CCC(C)(CCC(C)C)C([O-])=O.CCC(C)(CCC(C)C)C([O-])=O
NCGC00257432-01,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC13CCN(CC3)C4(C)CCN(CC4)C(=O)C5=C(C)N=CN=C5C
NCGC00257519-01,OC(=O)C1=C(Cl)C(Cl)=CC=C1Cl
NCGC00260158-01,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O
NCGC00260140-01,CC1=C2CCC3=C4C=CC5=CC=CC=C5C4=CC(C=C1)=C23
NCGC00255588-01,CN1N=CC(C(=O)C2=C(C)C(C3=NOCC3)=C(C=C2)S(C)(=O)=O)=C1O
NCGC00259289-01,ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl
NCGC00274082-01,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O
NCGC00258341-01,CCCCCCCCCCCCOCC1CO1
NCGC00256346-01,NC1=CC=C(Br)C=C1
NCGC00160453-02,O=C(NCN1CCOCC1)C2=CN=CC=N2
NCGC00260179-01,CCN1C=C[N+](C)=C1C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
NCGC00259292-01,OC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(O)C=C2
NCGC00258996-01,FC(F)(F)C1=CC=C(Cl)C=C1
NCGC00257069-01,CCCCO[Al](OCCCC)OCCCC
NCGC00256042-01,ClC1=CC=C(C=C1)C#N
NCGC00259840-01,[O-][N+](=O)C1=CC=C(Cl)C=C1
NCGC00016394-10,COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1
NCGC00254805-01,CC(C)C1(C)NC(=NC1=O)C2=NC=C(C)C=C2C(O)=O
NCGC00262932-01,OC1=CC=C(C=C1)C2(C(=O)NC3=CC=CC=C23)C4=CC=C(O)C=C4
NCGC00259345-01,CCCCN(CC)C(=O)SCCC
NCGC00255524-01,CC1=CC(Br)=CC=C1NC(=O)CCl
NCGC00254837-01,[H][C@]12COC(C)(C)O[C@@]1([H])[C@]3([H])OC(C)(C)O[C@@]3(O2)C(O)=O
NCGC00257645-01,CC1=CC=C(C=C1)S(=O)(=O)NC2CCCCC2
NCGC00255839-01,CCCCCCCCCCCC(=O)N(C)CC(O)=O
NCGC00260496-01,C1=CC2=C(C=C1)N=CC=N2
NCGC00164489-04,NC1=NC(N)=C(S1)C2=CC=CC=C2
NCGC00255222-01,FC1=CN(C2CCCO2)C(=O)NC1=O
NCGC00255474-01,CC1=CC=C(NC=O)C(C)=C1
NCGC00255409-01,OC1=C(Br)C=C(C=C1Br)C2(OS(=O)(=O)C3=C2C=CC=C3)C4=CC(Br)=C(O)C(Br)=C4
NCGC00022579-05,[Na+].[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)C(C([O-])=O)C3=CC=CC=C3)C([O-])=O
NCGC00256562-01,COP(=O)(OC)OC
NCGC00254420-01,C1C\C=C\CC\C=C\CC\C=C\1
NCGC00260026-01,COC1=C(C=CC(=C1)C2=CC(OC)=C(C=C2)N=C=O)N=C=O
NCGC00257244-01,CCCCCCOC1=CC=C(O)C=C1
NCGC00259949-01,C1CC2=C3C1=CC=CC3=CC=C2
NCGC00255610-01,O=C(OCC1=CC=CC=C1)C(=O)OCC2=CC=CC=C2
NCGC00259749-01,CC1=CC=C(O1)C(O)=O
NCGC00258549-01,[Na+].CNCCS([O-])(=O)=O
NCGC00016274-10,CN1N(C(=O)C=C1C)C2=CC=CC=C2
NCGC00260027-01,OC(=O)C1=CC=C(C=O)C=C1
NCGC00015277-17,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12
NCGC00257436-01,CCCCCCCCCCCCCC(=O)OCC
NCGC00256040-01,CCCC(=O)OC
NCGC00182982-01,CCNC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1
NCGC00014993-12,OC(=O)CCCCCCCC(O)=O
NCGC00254223-01,C1=CC2=C(C=C1)C3=CC4=C(C=CC=C4)C5=C3C2=CC=C5
NCGC00166249-03,OC1=C(I)C2=C(C=C1I)C3(OC(=O)C4=CC=CC=C34)C5=C(O2)C(I)=C(O)C(I)=C5
NCGC00254453-01,CC1=CC(C)=C(O)C(C)=C1
NCGC00260090-01,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C
NCGC00164578-02,CC1=NC=C(C=C1)C2=NC=C(Cl)C=C2C3=CC=C(C=C3)S(C)(=O)=O
NCGC00257937-01,CC1CCCO1
NCGC00254490-01,CCOCCOCCOCCO
NCGC00254046-01,CC1=C(O)C(=O)C=CO1
NCGC00091616-03,CCOC1=C(C=CC=C1)C(N)=O
NCGC00254098-01,CCOC(=O)C1=CC=CC=C1C(=O)OCC
NCGC00260092-01,ClC=C(Cl)Cl
NCGC00259377-01,S=C1NC2=CC=CC=C2N1
NCGC00183025-01,OC(=O)C1=C(I)C(NC(=O)COCCOCCOCC(=O)NC2=C(I)C=C(I)C(C(O)=O)=C2I)=C(I)C=C1I
NCGC00258472-01,OC(=O)CCC(=O)C(O)=O
NCGC00255995-01,[Br-].CCCCCCCCCCCC[N+](C)(C)C
NCGC00255351-01,[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1
NCGC00166218-02,[O-][N+](=O)C1=CC=C(NC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)C=C1
NCGC00254238-01,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00257003-01,CN(C)CCCN
NCGC00253679-01,FC1=C(CBr)C=CC(Br)=C1
NCGC00255061-01,CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1
NCGC00257418-01,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC
NCGC00255479-01,CC(C)(NC1=NC(Cl)=NC(NC2CC2)=N1)C#N
NCGC00255363-01,CC1CCCCC1NC(=O)NC2=CC=CC=C2
NCGC00159397-03,CN1N(C(=O)C(I)=C1C)C2=CC=CC=C2
NCGC00256270-01,CN(C)CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
NCGC00259061-01,CC(Cl)(Cl)C(O)=O
NCGC00260350-01,[K+].F[B-](F)(F)F
NCGC00164533-02,CCCCNC(=N)NC(N)=N
NCGC00254036-01,COC(=O)C1=CC=C(C=C1)C(=O)OC
NCGC00259670-01,O=C1CCCCC1
NCGC00253630-01,C1CC2=CC=CC=C2NC3=CC=CC=C13
NCGC00260547-01,NC(=S)NC1=C2C=CC=CC2=CC=C1
NCGC00254776-01,CC1(C)CC(O)CC(C)(C)N1[O]
NCGC00166288-02,[I-].CCN1C(SC2=CC=CC=C12)=CC=CC3=[N+](CC)C4=CC=CC=C4S3
NCGC00258593-01,CCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCCC
NCGC00177971-03,[H][C@@]12[C@H](O)[C@H](OC(C)=O)[C@@]3(C)O[C@](C)(CC(=O)[C@]3(O)[C@@]1(C)[C@@H](O)CCC2(C)C)C=C
NCGC00259674-01,CCOC1=C(O)C=CC(C=O)=C1
NCGC00257772-01,ClC(Cl)C#N
NCGC00016697-04,Cl.Cl.COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1
NCGC00259634-01,CCCNCCC
NCGC00168342-02,CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN3C=NC=N3
NCGC00255674-01,OC1=C(C=C(Cl)C=C1)C2CCCC2
NCGC00259120-01,COCC(O)=O
NCGC00260676-01,CC1=C(OP(=O)(OC2=C(C)C=CC=C2)OC3=C(C)C=CC=C3)C=CC=C1
NCGC00257021-01,CCCCCCC(O)CCCCCCCCCCC(O)=O
NCGC00254536-01,CN(C)CCCN(C)CCCN(C)C
NCGC00258527-01,OC1=CC=C(C=C1)C(=O)C2=CC=C(Cl)C=C2
NCGC00159372-04,OC(=O)CCC(O)=O
NCGC00094819-07,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1
NCGC00160660-02,CC1=C(CN2C=CN=C2)C3=C(C=CC=C3)N1CCC(O)=O
NCGC00258720-01,S=C=S
NCGC00258391-01,[O-][N+](=O)C1=CC=CC(CCl)=C1
NCGC00254830-01,CCC(=O)C=CC1=CC=C(OC)C=C1
NCGC00258626-01,CS(O)(=O)=O
NCGC00258124-01,CC(C)=CCCC(C)(OC(=O)C1=CC=CC=C1N)C=C
NCGC00274077-01,[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00258190-01,CCC(=O)C=C
NCGC00256137-01,C=COCCOCCOCCOC=C
NCGC00257141-01,OC(=O)CC(=C)C(O)=O
NCGC00259279-01,CC=CC(O)=O
NCGC00261973-01,CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(O)=O
NCGC00257624-01,NC1=C(C=C(C=C1Br)[N+]([O-])=O)[N+]([O-])=O
NCGC00253662-01,O=C(N1CCNCC1)C2=CC=CO2
NCGC00256839-01,CCCCCCCCC(=O)OCC
NCGC00257326-01,Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C3=C1N=C(NCC(C)(C)O)N=C3
NCGC00257384-01,CCCCCCCCCCCCOCC1CO1
NCGC00260339-01,NC(CC1=CNC2=CC=CC=C12)C(O)=O
NCGC00015643-11,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
NCGC00257483-01,CCC\C=C\C=O
NCGC00259639-01,CC12CCC(CC1)C(C)(C)O2
NCGC00256324-01,CCC(C)C=O
NCGC00258802-01,COCCCN
NCGC00159452-03,FC1=CC2=C(OCC[C@]23NC(=O)NC3=O)C=C1
NCGC00254386-01,[H][C@@]1(OC[C@H](O)[C@H]1O)[C@H](O)COC(=O)CCCCCCC\C=C/CCCCCCCC
NCGC00259760-01,CCCCCNCCCCC
NCGC00259263-01,O=C1OC(=O)C2=CC3=C(C=C12)C(=O)OC3=O
NCGC00254619-01,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl
NCGC00254524-01,[Cl-].CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)=C3C=CC(C=C3)=[N+](C)C
NCGC00258217-01,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O
NCGC00260055-01,CCNCC
NCGC00015110-09,CCC1(CCC(=O)NC1=O)C2=CC=C(N)C=C2
NCGC00257258-01,C(OC1=CC=C(CC2=CC=C(OCC3CO3)C=C2)C=C1)C4CO4
NCGC00256756-01,CC(CN(CCN(CC(C)OCCO)CC(C)OCCO)CC(C)OCCO)OCCO
NCGC00256883-01,[H][C@]12CCO[C@]1(C)CC[C@@]3([H])C(C)(C)CCC[C@]23C
NCGC00015703-06,CNC1(C)C2CCC(C2)C1(C)C
NCGC00257775-01,C[Si](C)(C)Cl
NCGC00259449-01,CCCCCCCCCCCCN
NCGC00016634-04,OC(=O)\C=C/C(O)=O.CN(C)CCCN1C2=C(SC3=C1C=C(C=C3)C(C)=O)C=CC=C2
NCGC00161393-04,Cl.CCN1CCC[C@H]1CNC(=O)C2=C(OC)C(Cl)=CC(CC)=C2O
NCGC00256846-01,CCCC1CCCC(=O)O1
NCGC00260002-01,CCOC(=O)C(=C)C#N
NCGC00259092-01,OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O
NCGC00259068-01,CC(=O)NC1=CC=C2C(CC3=C2C=CC(NC(C)=O)=C3)=C1
NCGC00254514-01,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]
NCGC00254442-01,CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O
NCGC00254093-01,CN(C)C=O
NCGC00160422-02,Cl.CC(C)(N)CC1=CC=C(Cl)C=C1
NCGC00259748-01,CN(C)NC(=O)CCC(O)=O
NCGC00254377-01,NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O
NCGC00255357-01,C(NC1=C2N=CN=C2N=CN1)C3=CC=CC=C3
NCGC00016850-15,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O
NCGC00260133-01,Cl.Cl.NC1=CC=C(C=C1)C2=CC=C(N)C=C2
NCGC00259415-01,CC(C)OC(=O)NC1=CC=CC(Cl)=C1
NCGC00018203-06,[Br-].CC[N+]1(C)CCCC(C1)OC(=O)C(O)(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00256576-01,CC(C)OC(=O)NC1=CC=CC=C1
NCGC00256136-01,CC(=C)C(=O)OCCNC(C)(C)C
NCGC00259835-01,CCCOC(=O)C1=CC(O)=C(O)C(O)=C1
NCGC00253750-01,CCN1CCCC1CNC(=O)C(O)(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00257093-01,[Cl-].C[N+](C)(C)CC1=CC=CC=C1
NCGC00259592-01,CNC1=C(Cl)C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F
NCGC00253677-01,COC1=CC2=NC(Cl)=NC(N)=C2C=C1OC
NCGC00259366-01,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl
NCGC00259582-01,BrC1=CC=C(OC2=CC=C(Br)C=C2)C=C1
NCGC00257023-01,COCCCN
NCGC00255169-01,[Na+].CC[Hg]SC1=C(C=CC=C1)C([O-])=O
NCGC00258387-01,OC1=CC(Cl)=CC=C1
NCGC00013082-04,[H]\C(C(O)=O)=C(\CC(O)=O)C(O)=O
NCGC00258394-01,ClCOCCl
NCGC00257127-01,ClC(=O)C1=CC=C(C=C1)C(Cl)=O
NCGC00256131-01,CCOC(=O)CCCCCCCCC=C
NCGC00179663-03,[H][C@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)NC(=O)N(CC)CC
NCGC00259124-01,COCCl
NCGC00254799-01,OCC1=C(Cl)C=C(Cl)C=C1
NCGC00255636-01,C\C=C(/C)C(C)=O
NCGC00163705-03,Cl.Cl.NCCNC1=C2C=CC=CC2=CC=C1
NCGC00255096-01,OCCNCC1=CC=CC=C1
NCGC00255640-01,CC(CO)(CO)[N+]([O-])=O
NCGC00253924-01,COC1=CC(=CC=C1N)C2=CC(OC)=C(N)C=C2
NCGC00254437-01,CCCCCCCCCC(O)=O
NCGC00178741-03,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(O)=O
NCGC00257379-01,CC1=CCC2CC1C2(C)C
NCGC00255645-01,O.CC(O)(P(O)(O)=O)P(O)(O)=O
NCGC00260464-01,[H]\C(=C(\[H])C1=CC=C(C=C1)[N+]([O-])=O)C2=CC=C(C=C2)N(C)C
NCGC00164573-02,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C3=C(F)C=CC=C3
NCGC00259604-01,CC1=CC(=C(N)C=C1)[N+]([O-])=O
NCGC00256920-01,O=C1CCCCCCCCCCCCCCCO1
NCGC00179511-03,CC(=O)SC[C@@H](CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2
NCGC00259077-01,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1
NCGC00257845-01,OC1=C2N=CC=CC2=C(Cl)C=C1I
NCGC00159404-04,COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S(O)(=O)=O
NCGC00256326-01,Cl.COC1=CC=C(N)C=C1
NCGC00016265-08,NC1=NC(=O)C2=C(N1)N=CC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2
NCGC00255641-01,NC(=O)C1=CC=C(N)C=C1
NCGC00162129-06,Cl.CC(N)C(=O)NC1=C(C)C=CC=C1C
NCGC00256469-01,CC(=O)C1C(=O)OC(C)=CC1=O
NCGC00256860-01,C(N1C=CC=C1)C2=CC=CO2
NCGC00255413-01,COC(=O)C1=C(C=CC(OC2=CC=C(Cl)C=C2Cl)=C1)[N+]([O-])=O
NCGC00263573-01,CC(O)=O.NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC3=CC=C(O)C=C3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O
NCGC00255334-01,CC1=CC=C(C=C1)C(C)(C)O
NCGC00259047-01,CCN(CC)C1=CC=CC=C1
NCGC00015073-05,NCCCNCCSP(O)(O)=O
NCGC00261969-01,CS(O)(=O)=O.[H][C@]12CN(C[C@@]1([H])[C@]2(C)NC(=O)[C@H](C)NC(=O)[C@H](C)N)C3=NC4=C(C=C3F)C(=O)C(=CN4C5=CC=C(F)C=C5F)C(O)=O
NCGC00253676-01,CCN1CCCC1CN
NCGC00259087-01,CC(C)CC(C)CC(=O)CC(C)C
NCGC00258519-01,[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F
NCGC00256781-01,CCCCCCC(O)CCOC(C)=O
NCGC00253747-01,CC(C)(N)CC1=CC=CC=C1Cl
NCGC00257126-01,CC1(C)C2CCC(C2)C1=C
NCGC00259002-01,CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C
NCGC00255993-01,Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
NCGC00262951-01,CCC(=O)N(C1CCNCC1)C2=CC=CC=C2
NCGC00254997-01,[Na+].[O-]C(=O)CCCOC1=CC=C(Cl)C=C1Cl
NCGC00255858-01,CC(C)OC(=O)C(C)N(C(=O)C1=CC=CC=C1)C2=CC(Cl)=C(F)C=C2
NCGC00258025-01,OCCN1CCN(CCO)CC1
NCGC00166213-02,CCCCCCCCCCC(CO)CCCCCCCC
NCGC00257173-01,N1C=NC2=C1C=CC=C2
NCGC00257720-01,FC(F)OC(F)(F)C(F)Cl
NCGC00255344-01,CCC1=C(N([C@@H](C)COC)C(=O)CCl)C(C)=CC=C1
NCGC00179630-03,Br.CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)C3=CC=CC=C3
NCGC00258035-01,[K+].[S-]C#N
NCGC00256097-01,CC1=NC(C)=C(C)N=C1C
NCGC00257601-01,CC(CO)CO
NCGC00256535-01,OCC#CCO
NCGC00259800-01,CCCCCCCC(Cl)=O
NCGC00259276-01,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
NCGC00255290-01,[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O
NCGC00254024-01,CC(=C/CO)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C
NCGC00253682-01,COC1=CC2=C(C=C1OC)C(=O)CC2
NCGC00254343-01,O=C1N(C2CCC(=O)NC2=O)C(=O)C3=CC=CC=C13
NCGC00016506-07,Cl.C(C1=NCCN1)C2=CC3=CC=CC=C3C=C2
NCGC00182546-02,CC(C)=CCC\C(C)=C\CC\C(C)=C\CCC(=O)OC\C=C(/C)CCC=C(C)C
NCGC00255447-01,CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1
NCGC00254931-01,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1
NCGC00256795-01,CCOC(=O)CC1(C)OCC(C)O1
NCGC00254249-01,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NCGC00178638-02,Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O
NCGC00254594-01,O=C(CC(=O)C1=CC=CC=C1)C2=CC=CC=C2
NCGC00260352-01,[Na+].CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C4=C(C(O)=C(NC(=O)C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C=C4[O-])C(O)=C3C
NCGC00167438-02,[Cl-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C3=CC=CC=C3)C4=CC=CC=C4)[N@@+]25CCCC5
NCGC00258827-01,CC1=CC(O)=C(C)C=C1
NCGC00255359-01,OCCN(CCO)C1=CC=CC=C1
NCGC00344561-01,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(CC)CC[C@]3([H])[C@@]4([H])CC\C(C=C4CC[C@@]23[H])=N/O
NCGC00257977-01,CCCCN(CCCC)CCCC
NCGC00259332-01,CC=CC1=CC2=C(OCO2)C=C1
NCGC00258999-01,CCOC1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O
NCGC00016764-04,CC(N(CC1=C(N)N=C(C)N=C1)C=O)=C(CCOP(O)(O)=O)SC(=O)C2=CC=CC=C2
NCGC00258655-01,CCN1CCOCC1
NCGC00257712-01,CC1=CC=CC(N)=C1C
NCGC00167491-04,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1
NCGC00255816-01,NC1=CC=C(C(N)=C1)S(O)(=O)=O
NCGC00256757-01,Cl.ClC1=CC=C(OCC(=O)N2CCN(CC3=CC4=C(OCO4)C=C3)CC2)C=C1
NCGC00016403-06,Cl.NCC1=CC=C(C=C1)S(N)(=O)=O
NCGC00259502-01,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1
NCGC00256047-01,CCOC1=CC(=C(OCC)C=C1N2CCOCC2)[N+]([O-])=O
NCGC00258914-01,CCOC(=O)CC(=O)OCC
NCGC00254834-01,CN(C)CCCN(C)C
NCGC00258323-01,CCOC(=O)OCC
